Simbolo,N,Volumen_acum,Volumen,Tipo_Vela,Cantidad_FVGs,N_FVGs_Falta,%_Cumplimiento_FVG,Ultimo_FVG_Falta,Rupt_Mechas_Alcistas,Rupt_Mechas_Bajistas,Rupt_Velas_Alcistas,Rupt_Velas_Bajistas,Iteraciones,Min_Low,Max_High,Precio_Actual,Porcentaje_Alcista,Porcentaje_Bajista,Diferencia_Porcentajes,Total_Swing_Alcistas,Total_Swing_Bajistas,Fecha_Ultimo_Swing_Alcista,Precio_Ultimo_Swing_Alcista,Fecha_Ultimo_Swing_Bajista,Precio_Ultimo_Swing_Bajista,Tendencia_MM,DuracionTrendMM_Close_SMA_200,Tendencia_PullBack,DuracionTrendMM_Close_EMA_20,%K,%D,Duracion_Estocastico,Estocastico_Senal
USDTCOP,477,166471190.0,224853.0,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",42,5,88.1,"[('Alcista', 15), ('Alcista', 18), ('Alcista', 21)]",0,0,0,0,57,3600.0,4148.0,3871.0,14.16,18.65,4.494962541978817,94,95,2025-09-22 17:59:59.999,3821.0,2025-09-17 17:59:59.999,3887.0,Bajista,55,Bajista,23,76.11940298507463,43.57177157396986,2.0,Neutro
IOUSDT,471,5770284900.35,6330669.36,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",99,2,97.98,"[('Alcista', 233), ('Alcista', 234)]",0,0,0,0,20,0.504,0.89,0.555,1071.17,89.19,981.981981981982,110,99,2025-09-22 17:59:59.999,0.527,2025-09-21 17:59:59.999,0.626,Bajista,236,Bajista,4,13.0909090909091,7.98411077062764,3.0,Sobre-venta
ZKUSDT,465,58334441585.99999,49461870.3,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",91,3,96.7,"[('Alcista', 233), ('Alcista', 234), ('Alcista', 259)]",0,0,0,0,42,0.04721,0.07361,0.05125,475.61,28.59,447.0243902439024,111,99,2025-09-22 17:59:59.999,0.04734,2025-09-21 17:59:59.999,0.05767,Bajista,11,Bajista,11,22.562031159838405,17.79188305443354,6.0,Sobre-venta-D
LISTAUSDT,462,11312640129.2,25036610.2,"['N/A', 'N/A', 'N/A', 'Doji', 'N/A']",89,3,96.63,"[('Bajista', 76), ('Bajista', 139), ('Bajista', 165)]",0,0,2,0,45,0.216,0.3858,0.3213,166.76,93.78,72.98474945533773,105,118,2025-09-22 17:59:59.999,0.2827,2025-09-20 17:59:59.999,0.445,Alcista,77,Alcista,8,39.57010258915484,37.64859143461977,7.0,Neutro
ZROUSDT,462,2852810445.34,10188820.08,"['N/A', 'N/A', 'Hang_Man', 'N/A', 'N/A']",80,2,97.5,"[('Bajista', 0), ('Alcista', 259)]",0,0,0,0,45,1.638,2.599,2.204,243.33,54.63,188.70235934664242,107,107,2025-09-22 17:59:59.999,1.78,2025-09-18 17:59:59.999,2.11,Bajista,249,Alcista,2,91.57667386609077,73.65687108667674,2.0,Sobre-compra-K
GUSDT,433,46547119707.0,28892675.0,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",92,2,97.83,"[('Alcista', 234), ('Alcista', 254)]",0,0,0,3,21,0.01085,0.01548,0.01043,667.02,5.56,661.457334611697,97,95,2025-09-23 17:59:59.999,0.00992,2025-09-21 17:59:59.999,0.01126,Bajista,233,Bajista,11,20.4,12.037246963562756,6.0,Sobre-venta-D
BANANAUSDT,432,108856681.926,94300.395,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",93,5,94.62,"[('Alcista', 1), ('Alcista', 2), ('Alcista', 4)]",0,0,0,3,24,17.87,32.3,17.05,361.47,40.18,321.2903225806452,88,93,2025-09-17 17:59:59.999,19.79,2025-09-17 17:59:59.999,22.07,Bajista,6,Bajista,6,7.284768211920538,5.786284490965677,4.0,Sobre-venta
RENDERUSDT,426,2018910086.23,1780142.96,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",88,2,97.73,"[('Alcista', 1), ('Alcista', 239)]",0,0,0,0,24,3.239,4.716,3.671,224.16,31.79,192.37265050394993,96,96,2025-09-20 17:59:59.999,3.869,2025-09-21 17:59:59.999,4.04,Bajista,3,Bajista,3,25.341426403641844,16.55262966289195,3.0,Sobre-venta-D
TONUSDT,413,3318092491.59,3038622.68,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",65,4,93.85,"[('Alcista', 3), ('Alcista', 4), ('Alcista', 30)]",0,0,0,3,19,2.998,3.749,2.831,156.76,16.85,139.91522430236668,97,93,2025-09-22 17:59:59.999,2.581,2025-09-19 17:59:59.999,3.2,Bajista,11,Bajista,10,36.496350364963504,34.11192214111919,3.0,Neutro
DOGSUSDT,395,17111435161251.0,16159341085.0,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",79,6,92.41,"[('Alcista', 117), ('Alcista', 234), ('Alcista', 247)]",0,0,0,3,24,0.0001218,0.0001747,0.0001238,1353.96,18.74,1335.2180936995153,94,87,2025-09-23 17:59:59.999,0.0001163,2025-09-21 17:59:59.999,0.0001416,Bajista,11,Bajista,4,21.42857142857145,15.152689984548383,3.0,Sobre-venta-D
EURIUSDT,393,1831307817.6999998,1227772.8,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",82,5,93.9,"[('Bajista', 114), ('Bajista', 174), ('Bajista', 203)]",0,0,0,0,8,1.1346,1.1902,1.1727,10.86,13.12,2.25974247463121,80,89,2025-09-22 17:59:59.999,1.1705,2025-09-23 17:59:59.999,1.1808,Alcista,193,Bajista,1,24.242424242424562,43.00144300144294,7.0,Neutro
POLUSDT,377,23554118614.800003,35877703.6,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",82,6,92.68,"[('Alcista', 1), ('Alcista', 2), ('Alcista', 4)]",0,0,0,0,22,0.1902,0.2964,0.2268,340.92,33.02,307.8924162257495,92,82,2025-09-22 17:59:59.999,0.2151,2025-09-18 17:59:59.999,0.2648,Alcista,40,Bajista,10,16.13793103448274,15.724137931034475,6.0,Sobre-venta
NEIROUSDT,374,41461700577010.0,27478417202.0,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",78,8,89.74,"[('Alcista', 2), ('Alcista', 4), ('Alcista', 62)]",0,0,0,3,24,0.00031001,0.00061816,0.00029064,972.56,89.27,883.2886044591246,82,88,2025-09-19 17:59:59.999,0.00034487,2025-09-17 17:59:59.999,0.00038056,Bajista,6,Bajista,6,13.031617235590373,7.281289089132854,6.0,Sobre-venta
TURBOUSDT,374,1157343739810.0,752506792.0,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",79,6,92.41,"[('Alcista', 2), ('Alcista', 4), ('Bajista', 155)]",0,1,0,2,24,0.003536,0.005899,0.00359,303.29,62.12,241.1699164345404,77,91,2025-09-22 17:59:59.999,0.003405,2025-09-18 17:59:59.999,0.004508,Bajista,3,Bajista,6,14.374514374514364,12.56151256151253,4.0,Sobre-venta
1MBABYDOGEUSDT,374,2856251082172.0,1317893279.0,"['N/A', 'N/A', 'N/A', 'Doji', 'N/A']",68,0,100.0,[],0,0,0,0,24,0.0011067,0.001646,0.0012225,448.4,28.8,419.5991820040899,85,90,2025-09-23 17:59:59.999,0.0011597,2025-09-21 17:59:59.999,0.0013959,Bajista,4,Bajista,3,20.836098208360994,14.557204283869899,3.0,Sobre-venta-D
CATIUSDT,370,12336823605.1,4436719.8,"['Doji', 'N/A', 'N/A', 'N/A', 'N/A']",71,3,95.77,"[('Alcista', 234), ('Alcista', 247), ('Alcista', 280)]",0,1,0,0,29,0.077,0.1277,0.0832,1342.31,18.27,1324.0384615384617,81,80,2025-09-22 17:59:59.999,0.0733,2025-09-19 17:59:59.999,0.101,Bajista,25,Bajista,4,35.74007220216603,30.806257521058953,13.0,Neutro
HMSTRUSDT,364,1336043155740.0,1132332230.0,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",64,3,95.31,"[('Alcista', 104), ('Alcista', 106), ('Alcista', 248)]",0,3,0,0,24,0.000632,0.000964,0.000652,2070.09,4.91,2065.184049079755,81,85,2025-09-22 17:59:59.999,0.00062,2025-09-21 17:59:59.999,0.000758,Bajista,137,Bajista,4,18.39080459770116,14.367816091954019,3.0,Sobre-venta
EIGENUSDT,359,4688901653.429999,18963951.94,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",64,4,93.75,"[('Bajista', 18), ('Alcista', 233), ('Alcista', 234)]",4,0,0,0,8,1.031,1.9,1.87,202.62,83.96,118.66310160427805,84,79,2025-09-22 17:59:59.999,1.557,2025-09-21 17:59:59.999,1.917,Alcista,20,Alcista,20,67.74647887323944,56.68125872351222,7.0,Neutro
SCRUSDT,349,4263645618.1,2591862.2,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",66,6,90.91,"[('Alcista', 9), ('Alcista', 30), ('Alcista', 203)]",0,1,0,0,36,0.267,0.434,0.285,580.7,27.37,553.3333333333334,73,75,2025-09-23 17:59:59.999,0.266,2025-09-21 17:59:59.999,0.331,Bajista,4,Bajista,11,20.65217391304344,13.141182217879845,4.0,Sobre-venta-D
BNSOLUSDT,343,5981090.936,20838.849,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",75,4,94.67,"[('Alcista', 1), ('Bajista', 47), ('Bajista', 76)]",1,0,0,0,11,166.1,267.8,230.1,31.46,56.84,25.380269448066063,77,67,2025-09-19 17:59:59.999,252.9,2025-09-21 17:59:59.999,259.8,Alcista,53,Bajista,3,19.0291262135922,14.693271930872568,2.0,Sobre-venta
LUMIAUSDT,342,2949213196.45,2257255.65,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",58,8,86.21,"[('Bajista', 75), ('Bajista', 76), ('Alcista', 180)]",0,0,0,0,54,0.27,0.389,0.302,1244.37,35.76,1208.609271523179,73,80,2025-09-23 17:59:59.999,0.28,2025-09-21 17:59:59.999,0.343,Bajista,4,Bajista,4,29.729729729729698,18.622908622908604,3.0,Sobre-venta-D
KAIAUSDT,329,16811044021.1,12088516.4,"['Doji', 'N/A', 'N/A', 'Doji', 'N/A']",65,5,92.31,"[('Alcista', 1), ('Alcista', 89), ('Alcista', 90)]",0,0,0,0,53,0.1301,0.1807,0.1509,181.64,46.98,134.65871438038437,74,70,2025-09-23 17:59:59.999,0.1458,2025-09-22 17:59:59.999,0.167,Alcista,99,Bajista,3,24.05660377358488,23.360177941402025,3.0,Neutro
COWUSDT,323,7819044677.5,3054139.0,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",71,3,95.77,"[('Alcista', 2), ('Alcista', 30), ('Alcista', 260)]",0,0,0,3,24,0.3169,0.5082,0.2861,329.92,33.03,296.8891995805662,75,72,2025-09-19 17:59:59.999,0.3302,2025-09-19 17:59:59.999,0.3567,Bajista,6,Bajista,11,8.993157380254194,7.405770493896614,4.0,Sobre-venta
CETUSUSDT,323,15212673052.099998,18408394.7,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",72,7,90.28,"[('Alcista', 2), ('Alcista', 4), ('Alcista', 124)]",0,0,0,3,24,0.0839,0.1467,0.0813,511.56,6.27,505.28905289052886,71,69,2025-09-22 17:59:59.999,0.0762,2025-09-18 17:59:59.999,0.098,Bajista,123,Bajista,6,19.02985074626864,12.686567164179088,4.0,Sobre-venta
PNUTUSDT,318,70059816987.8,30328671.5,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",64,6,90.62,"[('Alcista', 2), ('Alcista', 4), ('Alcista', 62)]",0,0,0,0,24,0.1878,0.3405,0.2165,1054.73,51.64,1003.094688221709,65,73,2025-09-22 17:59:59.999,0.1987,2025-09-17 17:59:59.999,0.2625,Bajista,3,Bajista,4,21.24105011933176,19.17263325377885,2.0,Sobre-venta-D
ACTUSDT,318,68640081920.5,52436037.3,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",61,5,91.8,"[('Alcista', 117), ('Alcista', 258), ('Alcista', 280)]",0,1,0,0,24,0.0316,0.0528,0.0339,2702.36,42.18,2660.1769911504425,72,70,2025-09-22 17:59:59.999,0.0308,2025-09-17 17:59:59.999,0.0444,Bajista,118,Bajista,4,22.794117647058812,21.323529411764707,1.0,Neutro
USUALUSDT,310,31418739290.399998,45732817.2,"['Doji', 'N/A', 'N/A', 'N/A', 'N/A']",70,6,91.43,"[('Alcista', 1), ('Alcista', 204), ('Alcista', 254)]",0,1,0,2,21,0.0558,0.1034,0.0557,2866.07,77.56,2788.5098743267504,65,62,2025-09-22 17:59:59.999,0.0536,2025-09-21 17:59:59.999,0.0692,Bajista,110,Bajista,6,12.935323383084569,11.454631603885334,3.0,Sobre-venta
THEUSDT,302,6830544441.299999,17615999.1,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",66,4,93.94,"[('Bajista', 76), ('Alcista', 248), ('Alcista', 258)]",0,0,2,0,17,0.3023,0.5127,0.4405,850.17,61.82,788.3541430192963,73,59,2025-09-20 17:59:59.999,0.3682,2025-09-21 17:59:59.999,0.723,Alcista,9,Alcista,8,32.07501803318106,33.55774625310573,4.0,Neutro
ACXUSDT,293,4626921794.6,4458813.7,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",57,5,91.23,"[('Alcista', 123), ('Alcista', 181), ('Alcista', 258)]",0,0,0,6,8,0.13,0.2173,0.1145,1524.45,3.41,1521.0480349344978,69,62,2025-09-22 17:59:59.999,0.1106,2025-09-21 17:59:59.999,0.1327,Bajista,93,Bajista,11,8.297872340425535,7.80141843971631,6.0,Sobre-venta
