Simbolo,N,Tipo_Vela,Cantidad_FVGs,N_FVGs_Falta,%_Cumplimiento_FVG,Ultimo_FVG_Falta,Rupt_Mechas_Alcistas,Rupt_Mechas_Bajistas,Rupt_Velas_Alcistas,Rupt_Velas_Bajistas,Iteraciones,Min_Low,Max_High,Precio_Actual,Porcentaje_Alcista,Porcentaje_Bajista,Diferencia_Porcentajes,Total_Swing_Alcistas,Total_Swing_Bajistas,Fecha_Ultimo_Swing_Alcista,Precio_Ultimo_Swing_Alcista,Fecha_Ultimo_Swing_Bajista,Precio_Ultimo_Swing_Bajista,Tendencia_MM,DuracionTrendMM_Close_SMA_200,Tendencia_PullBack,DuracionTrendMM_Close_EMA_20,%K,%D,Duracion_Estocastico,Estocastico_Senal
RAYUSDT,588,"['N/A', 'N/A', 'N/A']",116,6,94.83,"[('Bajista', 0), ('Alcista', 21), ('Bajista', 275)]",0,0,0,0,36,3.132,3.738,3.395,21.27,48.9,27.62886597938144,126,137,2025-09-17 13:59:59.999,3.182,2025-09-17 17:59:59.999,3.442,Bajista,22,Alcista,2,82.65682656826566,85.34827570497929,3.0,Sobre-compra
FARMUSDT,588,"['Cuerpo_Lleno', 'N/A', 'N/A']",91,3,96.7,"[('Bajista', 0), ('Bajista', 1), ('Bajista', 429)]",0,0,0,0,16,27.51,30.13,28.71,23.09,20.65,2.438174851967961,132,135,2025-09-17 13:59:59.999,27.59,2025-09-17 17:59:59.999,28.95,Bajista,22,Alcista,3,82.85714285714295,90.72359634252844,3.0,Sobre-compra
QUICKUSDT,588,"['N/A', 'N/A', 'N/A']",132,9,93.18,"[('Bajista', 0), ('Bajista', 1), ('Alcista', 16)]",0,1,0,0,15,0.02324,0.02767,0.02419,19.93,28.28,8.350558081851993,128,124,2025-09-17 13:59:59.999,0.0231,2025-09-17 17:59:59.999,0.0245,Bajista,18,Alcista,2,77.8571428571428,77.64069264069269,1.0,Neutro
MBOXUSDT,588,"['N/A', 'N/A', 'N/A']",115,9,92.17,"[('Bajista', 0), ('Bajista', 1), ('Alcista', 21)]",0,0,0,0,29,0.0551,0.0838,0.0692,21.1,45.09,23.98843930635838,113,107,2025-09-17 13:59:59.999,0.0647,2025-09-16 21:59:59.999,0.0682,Alcista,44,Alcista,3,92.59259259259264,83.01473516527282,2.0,Sobre-compra
REQUSDT,588,"['N/A', 'N/A', 'N/A']",66,3,95.45,"[('Bajista', 0), ('Bajista', 1), ('Alcista', 97)]",0,0,3,0,11,0.1174,0.1287,0.1298,23.27,9.55,13.713405238828974,127,133,2025-09-17 09:59:59.999,0.1247,2025-09-16 13:59:59.999,0.128,Bajista,157,Alcista,15,98.57142857142873,97.3529540232899,3.0,Sobre-compra
GHSTUSDT,588,"['N/A', 'N/A', 'N/A']",113,6,94.69,"[('Bajista', 0), ('Bajista', 1), ('Alcista', 21)]",0,0,0,0,28,0.43,0.529,0.469,23.03,34.12,11.087420042643927,106,99,2025-09-17 13:59:59.999,0.446,2025-09-17 17:59:59.999,0.475,Alcista,3,Alcista,3,81.81818181818178,82.49158249158252,2.0,Sobre-compra
WAXPUSDT,588,"['N/A', 'N/A', 'N/A']",127,8,93.7,"[('Bajista', 0), ('Bajista', 1), ('Alcista', 21)]",0,0,0,0,15,0.01876,0.021,0.0196,32.5,8.93,23.571428571428587,129,129,2025-09-17 13:59:59.999,0.01904,2025-09-17 17:59:59.999,0.01976,Bajista,23,Alcista,3,80.48780487804876,89.59503405844873,3.0,Sobre-compra
GNOUSDT,588,"['N/A', 'N/A', 'N/A']",132,5,96.21,"[('Bajista', 0), ('Bajista', 1), ('Bajista', 250)]",0,0,0,0,28,133.87,155.47,150.44,6.99,34.99,27.997872906141975,123,114,2025-09-17 13:59:59.999,144.64,2025-09-16 17:59:59.999,147.6,Alcista,78,Alcista,11,92.04819277108436,94.62244911289334,3.0,Sobre-compra
XECUSDT,588,"['N/A', 'N/A', 'N/A']",116,5,95.69,"[('Bajista', 0), ('Bajista', 1), ('Alcista', 207)]",0,0,0,0,25,1.937e-05,2.121e-05,2.035e-05,24.28,17.64,6.63390663390663,118,112,2025-09-17 13:59:59.999,1.973e-05,2025-09-17 17:59:59.999,2.05e-05,Alcista,3,Alcista,3,83.87096774193546,87.1181725779705,3.0,Sobre-compra
DYDXUSDT,588,"['N/A', 'N/A', 'N/A']",110,5,95.45,"[('Bajista', 0), ('Bajista', 1), ('Alcista', 208)]",0,0,0,0,28,0.5907,0.6856,0.6667,13.96,37.96,23.99880005999698,134,126,2025-09-17 13:59:59.999,0.6157,2025-09-16 21:59:59.999,0.6364,Alcista,3,Alcista,3,97.8328173374612,96.06055151558785,3.0,Sobre-compra
IDEXUSDT,588,"['N/A', 'N/A', 'N/A']",93,4,95.7,"[('Bajista', 0), ('Bajista', 108), ('Bajista', 113)]",0,0,0,0,15,0.02683,0.03217,0.02819,58.64,44.66,13.97658744235546,135,135,2025-09-17 13:59:59.999,0.027,2025-09-17 17:59:59.999,0.02843,Alcista,15,Alcista,2,41.0344827586207,39.95394810737955,9.0,Neutro
USDPUSDT,588,"['N/A', 'Cuerpo_Lleno', 'Doji']",31,0,100.0,[],0,0,0,0,32,0.9993,1.0031,0.9996,0.8,0.05,0.7503001200480144,67,103,2025-09-16 01:59:59.999,0.9995,2025-09-17 09:59:59.999,1.0,Bajista,10,Bajista,1,11.11111111111111,14.814814814814804,4.0,Sobre-venta
GALAUSDT,588,"['N/A', 'N/A', 'N/A']",118,6,94.92,"[('Bajista', 0), ('Bajista', 1), ('Alcista', 23)]",0,0,0,0,28,0.01594,0.01875,0.01791,17.09,34.23,17.141261864879944,120,116,2025-09-17 13:59:59.999,0.01665,2025-09-17 17:59:59.999,0.01822,Alcista,10,Alcista,3,83.06010928961743,89.82233062690352,3.0,Sobre-compra
ILVUSDT,588,"['N/A', 'N/A', 'N/A']",134,7,94.78,"[('Bajista', 0), ('Bajista', 1), ('Alcista', 23)]",0,0,0,0,12,14.17,16.17,15.23,62.84,40.58,22.25869993434012,115,119,2025-09-17 13:59:59.999,14.36,2025-09-17 17:59:59.999,15.4,Alcista,3,Alcista,3,86.1788617886179,90.24698201527467,3.0,Sobre-compra
YGGUSDT,588,"['N/A', 'N/A', 'N/A']",134,8,94.03,"[('Bajista', 1), ('Alcista', 15), ('Alcista', 16)]",0,0,0,0,29,0.1465,0.2695,0.1921,40.29,34.77,5.517959396147852,131,122,2025-09-17 13:59:59.999,0.1819,2025-09-17 17:59:59.999,0.1957,Alcista,43,Bajista,18,45.33333333333329,43.627906976744164,2.0,Neutro
SYSUSDT,588,"['N/A', 'N/A', 'N/A']",125,6,95.2,"[('Bajista', 0), ('Bajista', 1), ('Alcista', 208)]",0,0,0,0,22,0.03857,0.04697,0.0425,50.24,31.76,18.470588235294112,117,125,2025-09-17 13:59:59.999,0.04006,2025-09-16 21:59:59.999,0.04223,Alcista,3,Alcista,3,95.05703422053239,87.52067631067149,2.0,Sobre-compra
DFUSDT,588,"['N/A', 'N/A', 'N/A']",134,4,97.01,"[('Bajista', 0), ('Bajista', 1), ('Alcista', 23)]",0,0,0,0,26,0.0268,0.0303,0.02868,44.7,11.68,33.019525801952575,136,126,2025-09-17 13:59:59.999,0.02736,2025-09-17 17:59:59.999,0.02898,Alcista,2,Alcista,3,82.65895953757236,83.91440287394046,2.0,Sobre-compra
FIDAUSDT,588,"['N/A', 'N/A', 'N/A']",100,8,92.0,"[('Bajista', 0), ('Bajista', 1), ('Alcista', 207)]",0,0,0,0,34,0.0848,0.1049,0.0956,38.39,45.4,7.00836820083682,119,126,2025-09-17 13:59:59.999,0.0902,2025-09-17 17:59:59.999,0.0968,Alcista,3,Alcista,3,85.00000000000007,83.73301424877592,2.0,Sobre-compra
AGLDUSDT,588,"['N/A', 'N/A', 'N/A']",114,4,96.49,"[('Bajista', 0), ('Bajista', 1), ('Alcista', 338)]",0,0,0,0,12,0.649,0.713,0.686,34.26,10.5,23.760932944606402,122,108,2025-09-17 13:59:59.999,0.652,2025-09-16 17:59:59.999,0.674,Alcista,1,Alcista,3,94.87179487179515,91.58789558789569,3.0,Sobre-compra
RADUSDT,588,"['N/A', 'N/A', 'Martillo_Inv']",79,4,94.94,"[('Bajista', 0), ('Alcista', 141), ('Bajista', 178)]",0,0,0,0,12,0.665,0.725,0.684,28.07,17.54,10.526315789473664,112,119,2025-09-17 13:59:59.999,0.665,2025-09-16 21:59:59.999,0.681,Bajista,18,Alcista,2,86.36363636363636,80.3030303030303,2.0,Sobre-compra
RAREUSDT,588,"['N/A', 'N/A', 'N/A']",101,3,97.03,"[('Bajista', 268), ('Bajista', 269), ('Bajista', 275)]",0,0,0,0,10,0.0521,0.0699,0.0593,24.62,30.02,5.3962900505902205,104,108,2025-09-17 13:59:59.999,0.0576,2025-09-17 17:59:59.999,0.0598,Alcista,10,Alcista,10,37.27810650887573,37.968260264379715,12.0,Neutro
LAZIOUSDT,588,"['N/A', 'N/A', 'N/A']",72,4,94.44,"[('Bajista', 0), ('Bajista', 1), ('Alcista', 147)]",0,0,0,0,12,0.901,0.996,0.955,27.96,27.75,0.20942408376963328,115,131,2025-09-17 13:59:59.999,0.914,2025-09-16 21:59:59.999,0.943,Bajista,108,Alcista,3,91.52542372881355,94.00053806833468,3.0,Sobre-compra
CHESSUSDT,588,"['N/A', 'N/A', 'N/A']",104,4,96.15,"[('Bajista', 0), ('Alcista', 18), ('Alcista', 339)]",0,3,0,0,23,0.06873,0.084,0.07197,36.72,19.13,17.59066277615672,127,131,2025-09-17 13:59:59.999,0.06821,2025-09-16 21:59:59.999,0.07498,Bajista,5,Bajista,19,49.21465968586391,45.36782499677199,2.0,Neutro
ADXUSDT,588,"['N/A', 'N/A', 'N/A']",135,9,93.33,"[('Bajista', 0), ('Bajista', 1), ('Alcista', 20)]",0,0,0,0,15,0.1172,0.1332,0.1267,22.57,42.7,20.1262825572218,96,124,2025-09-17 13:59:59.999,0.1196,2025-09-17 17:59:59.999,0.1272,Bajista,105,Alcista,3,94.84536082474227,91.17850055660426,3.0,Sobre-compra
AUCTIONUSDT,588,"['N/A', 'N/A', 'N/A']",102,1,99.02,"[('Bajista', 0)]",0,0,0,0,15,9.35,10.17,9.76,49.18,20.39,28.79098360655739,118,117,2025-09-17 13:59:59.999,9.39,2025-09-16 21:59:59.999,9.65,Bajista,23,Alcista,3,90.24390243902417,91.94998768169506,3.0,Sobre-compra
MOVRUSDT,588,"['N/A', 'N/A', 'N/A']",124,6,95.16,"[('Bajista', 0), ('Bajista', 1), ('Alcista', 23)]",0,0,0,0,15,5.538,6.288,5.934,34.14,21.96,12.184024266936294,124,116,2025-09-17 13:59:59.999,5.653,2025-09-17 17:59:59.999,6.028,Bajista,104,Alcista,3,80.45738045738058,85.6617714885433,3.0,Sobre-compra
CITYUSDT,588,"['N/A', 'N/A', 'N/A']",51,2,96.08,"[('Bajista', 1), ('Bajista', 247)]",0,0,0,0,51,1.004,1.118,1.053,30.67,31.81,1.1396011396011367,130,139,2025-09-17 09:59:59.999,1.025,2025-09-17 13:59:59.999,1.067,Bajista,21,Alcista,3,59.57446808510625,51.773049645390046,3.0,Neutro
ENSUSDT,588,"['N/A', 'N/A', 'N/A']",108,8,92.59,"[('Bajista', 0), ('Bajista', 1), ('Alcista', 26)]",0,0,0,0,32,22.01,25.25,24.31,32.5,34.06,1.563142739613312,134,124,2025-09-17 13:59:59.999,23.05,2025-09-16 21:59:59.999,23.76,Alcista,2,Alcista,3,91.30434782608691,92.37997679073192,3.0,Sobre-compra
QIUSDT,588,"['N/A', 'N/A', 'N/A']",102,3,97.06,"[('Bajista', 0), ('Bajista', 414), ('Bajista', 415)]",0,0,0,0,15,0.00701,0.00792,0.0077,10.26,27.53,17.272727272727288,118,112,2025-09-17 13:59:59.999,0.00713,2025-09-16 17:59:59.999,0.0074,Alcista,3,Alcista,3,95.71428571428577,89.88455988455992,3.0,Sobre-compra
PORTOUSDT,588,"['N/A', 'N/A', 'N/A']",87,5,94.25,"[('Bajista', 0), ('Bajista', 1), ('Bajista', 415)]",0,0,0,0,12,0.975,1.092,1.046,38.43,33.56,4.875717017208402,121,142,2025-09-17 13:59:59.999,0.992,2025-09-17 17:59:59.999,1.049,Bajista,23,Alcista,3,95.9459459459461,89.68790218790228,3.0,Sobre-compra
POWRUSDT,588,"['N/A', 'N/A', 'N/A']",121,6,95.04,"[('Bajista', 0), ('Alcista', 207), ('Alcista', 208)]",0,0,0,0,26,0.1568,0.1746,0.1655,22.78,19.4,3.383685800604212,131,126,2025-09-17 13:59:59.999,0.1601,2025-09-17 17:59:59.999,0.1671,Alcista,3,Alcista,3,81.3953488372094,86.14617940199336,3.0,Sobre-compra
JASMYUSDT,588,"['N/A', 'N/A', 'N/A']",112,7,93.75,"[('Bajista', 0), ('Alcista', 21), ('Alcista', 207)]",0,0,0,0,15,0.01378,0.01567,0.01468,41.76,30.25,11.512261580381459,116,126,2025-09-17 13:59:59.999,0.01397,2025-09-17 17:59:59.999,0.01482,Bajista,25,Alcista,3,84.61538461538466,81.59005628517825,2.0,Sobre-compra
AMPUSDT,588,"['N/A', 'N/A', 'N/A']",85,1,98.82,"[('Bajista', 0)]",0,0,0,0,32,0.003285,0.003693,0.003457,27.08,14.2,12.872432745154759,125,139,2025-09-17 09:59:59.999,0.00335,2025-09-16 13:59:59.999,0.003459,Bajista,23,Alcista,3,89.16666666666666,48.46520763187425,1.0,Sobre-compra-K
PYRUSDT,588,"['N/A', 'N/A', 'N/A']",100,5,95.0,"[('Bajista', 0), ('Bajista', 1), ('Bajista', 9)]",0,0,0,0,29,1.021,1.239,1.159,14.06,32.7,18.636755823986196,127,118,2025-09-17 13:59:59.999,1.1,2025-09-17 17:59:59.999,1.183,Alcista,48,Alcista,3,80.95238095238095,88.94362342638208,3.0,Sobre-compra
