Simbolo,N,Volumen_acum,Volumen,Tipo_Vela,Cantidad_FVGs,N_FVGs_Falta,%_Cumplimiento_FVG,Ultimo_FVG_Falta,Rupt_Mechas_Alcistas,Rupt_Mechas_Bajistas,Rupt_Velas_Alcistas,Rupt_Velas_Bajistas,Iteraciones,Min_Low,Max_High,Precio_Actual,Porcentaje_Alcista,Porcentaje_Bajista,Diferencia_Porcentajes,Total_Swing_Alcistas,Total_Swing_Bajistas,Fecha_Ultimo_Swing_Alcista,Precio_Ultimo_Swing_Alcista,Fecha_Ultimo_Swing_Bajista,Precio_Ultimo_Swing_Bajista,Tendencia_MM,DuracionTrendMM_Close_SMA_200,Tendencia_PullBack,DuracionTrendMM_Close_EMA_20,%K,%D,Duracion_Estocastico,Estocastico_Senal
USDTPLN,480,1167115.0,687.0,"['N/A', 'Doji', 'N/A', 'N/A', 'N/A']",79,4,94.94,"[('Bajista', 153), ('Bajista', 154), ('Bajista', 218)]",0,0,0,0,16,3.623,3.629,3.629,0.06,2.2,2.149352438688352,56,36,2025-09-20 12:59:59.999,3.627,2025-09-20 02:14:59.999,3.628,Alcista,232,Alcista,3,100.0,100.0,3.0,Sobre-compra
USDTARS,480,10814309.0,3571.0,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",95,6,93.68,"[('Bajista', 3), ('Bajista', 42), ('Bajista', 216)]",0,0,0,0,31,1556.3,1569.9,1567.4,0.8,5.9,5.091233890519343,83,70,2025-09-20 12:29:59.999,1562.6,2025-09-20 13:14:59.999,1568.2,Alcista,280,Alcista,6,90.1234567901242,90.12345679012326,5.0,Sobre-compra
WBTCUSDT,480,212.24658999999997,0.01205,"['N/A', 'N/A', 'N/A', 'N/A', 'Estrella_Fug']",118,5,95.76,"[('Dentro', 0), ('Alcista', 6), ('Alcista', 9)]",0,0,0,0,18,115399.99,116185.12,115782.12,1.82,0.87,0.9434444627546954,98,106,2025-09-20 12:59:59.999,115686.54,2025-09-20 13:29:59.999,115829.73,Bajista,138,Bajista,11,23.117668400048146,21.20530495424769,1.0,Neutro
EDUUSDT,480,124626949.0,40418.0,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",94,3,96.81,"[('Bajista', 27), ('Bajista', 58), ('Bajista', 59)]",0,0,0,0,20,0.139,0.1544,0.1508,12.47,13.93,1.4588859416445477,77,89,2025-09-20 11:44:59.999,0.1501,2025-09-20 13:29:59.999,0.152,Alcista,59,Bajista,1,41.66666666666647,57.132132132131936,18.0,Neutro
SUIUSDT,480,233936141.40000004,41447.9,"['N/A', 'N/A', 'Martillo', 'N/A', 'N/A']",105,9,91.43,"[('Bajista', 0), ('Bajista', 1), ('Alcista', 116)]",0,0,0,0,15,3.6189,3.7096,3.664,8.53,5.38,3.149563318777286,110,108,2025-09-20 13:14:59.999,3.645,2025-09-20 13:29:59.999,3.6689,Bajista,137,Bajista,1,37.32809430255432,30.605752796413938,2.0,Neutro
PEPEUSDT,480,53276129023893.0,19333695708.0,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",54,5,90.74,"[('Alcista', 5), ('Alcista', 6), ('Alcista', 129)]",0,0,0,0,34,1.054e-05,1.085e-05,1.066e-05,9.38,1.13,8.255159474671688,91,78,2025-09-20 12:44:59.999,1.061e-05,2025-09-20 10:44:59.999,1.082e-05,Bajista,161,Bajista,8,23.80952380952362,22.429261559696183,1.0,Neutro
FLOKIUSDT,480,651614535799.0,204544669.0,"['N/A', 'N/A', 'N/A', 'N/A', 'Estrella_Fug']",98,5,94.9,"[('Dentro', 0), ('Alcista', 6), ('Alcista', 160)]",0,0,0,0,18,9.545e-05,9.895e-05,9.704e-05,6.68,3.49,3.1842539159109493,103,101,2025-09-20 12:59:59.999,9.651e-05,2025-09-20 11:44:59.999,9.795e-05,Bajista,17,Bajista,7,28.191489361702633,24.146425657440787,1.0,Neutro
MAVUSDT,480,534312236.0,88595.0,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",91,5,94.51,"[('Bajista', 110), ('Alcista', 146), ('Alcista', 160)]",0,0,0,0,53,0.07101,0.07422,0.07301,8.62,9.19,0.5752636625120076,109,115,2025-09-20 13:14:59.999,0.0724,2025-09-20 13:29:59.999,0.07309,Bajista,53,Alcista,2,74.07407407407469,55.78755489270045,16.0,Neutro
PENDLEUSDT,480,13253282.2,4109.2,"['N/A', 'N/A', 'Martillo', 'N/A', 'N/A']",123,7,94.31,"[('Bajista', 19), ('Alcista', 44), ('Bajista', 100)]",0,0,0,0,33,5.035,5.226,5.096,6.38,7.26,0.8830455259026673,96,93,2025-09-20 13:14:59.999,5.087,2025-09-20 13:29:59.999,5.115,Bajista,45,Bajista,5,13.636363636364187,23.737373737374096,1.0,Sobre-venta-K
ARKMUSDT,480,68512648.7,51516.4,"['N/A', 'N/A', 'Doji', 'Cuerpo_Lleno', 'Doji']",62,3,95.16,"[('Bajista', 19), ('Bajista', 20), ('Alcista', 160)]",0,0,0,0,19,0.608,0.628,0.619,7.59,5.01,2.5848142164781933,72,76,2025-09-20 11:29:59.999,0.618,2025-09-20 12:29:59.999,0.623,Bajista,155,Alcista,2,37.5,33.33333333333332,2.0,Neutro
WBETHUSDT,480,2608.9869,0.1446,"['Hang_Man', 'N/A', 'N/A', 'N/A', 'N/A']",106,3,97.17,"[('Bajista', 0), ('Alcista', 115), ('Alcista', 160)]",0,0,0,0,13,4805.19,4860.98,4831.15,3.61,1.45,2.159113254608143,111,114,2025-09-20 13:14:59.999,4821.18,2025-09-20 13:29:59.999,4836.87,Bajista,155,Bajista,7,25.05025125628022,22.86432160804,1.0,Neutro
