Simbolo,N,Volumen_acum,Volumen,Tipo_Vela,Cantidad_FVGs,N_FVGs_Falta,%_Cumplimiento_FVG,Ultimo_FVG_Falta,Rupt_Mechas_Alcistas,Rupt_Mechas_Bajistas,Rupt_Velas_Alcistas,Rupt_Velas_Bajistas,Iteraciones,Min_Low,Max_High,Precio_Actual,Porcentaje_Alcista,Porcentaje_Bajista,Diferencia_Porcentajes,Total_Swing_Alcistas,Total_Swing_Bajistas,Fecha_Ultimo_Swing_Alcista,Precio_Ultimo_Swing_Alcista,Fecha_Ultimo_Swing_Bajista,Precio_Ultimo_Swing_Bajista,Tendencia_MM,DuracionTrendMM_Close_SMA_200,Tendencia_PullBack,DuracionTrendMM_Close_EMA_20,%K,%D,Duracion_Estocastico,Estocastico_Senal
FLMUSDT,480,181440808.0,96000.0,"['Cuerpo_Lleno', 'N/A', 'Cuerpo_Lleno']",74,4,94.59,"[('Alcista', 42), ('Alcista', 72), ('Alcista', 73)]",0,0,0,0,16,0.0314,0.0334,0.0314,20.06,0.0,20.063694267515924,63,52,2025-09-19 12:14:59.999,0.0314,2025-09-19 15:44:59.999,0.0317,Bajista,77,Bajista,9,0.0,11.111111111111363,3.0,Sobre-venta
UTKUSDT,480,103793108.0,439262.0,"['N/A', 'N/A', 'N/A']",95,5,94.74,"[('Bajista', 0), ('Alcista', 27), ('Alcista', 28)]",0,2,0,0,16,0.02546,0.02683,0.02572,8.48,3.15,5.326594090202191,94,88,2025-09-19 15:44:59.999,0.02545,2025-09-19 14:29:59.999,0.02567,Bajista,49,Alcista,1,87.87878787878734,55.09938090583222,1.0,Sobre-compra-K
XVSUSDT,480,788298.69,444.53,"['N/A', 'N/A', 'N/A']",100,0,100.0,[],0,0,0,0,28,6.54,6.82,6.6,5.76,5.91,0.1515151515151354,63,61,2025-09-19 15:14:59.999,6.57,2025-09-19 14:29:59.999,6.59,Bajista,45,Alcista,3,79.99999999999893,93.33333333333299,3.0,Sobre-compra-D
USDTBRL,480,233691534.0,322485.5,"['N/A', 'N/A', 'Cuerpo_Lleno']",143,13,90.91,"[('Bajista', 0), ('Bajista', 1), ('Bajista', 6)]",1,0,0,0,38,5.3191,5.3466,5.3464,0.63,1.24,0.6097560975609666,49,53,2025-09-19 14:59:59.999,5.3313,2025-09-19 15:44:59.999,5.3474,Alcista,108,Alcista,8,95.51569506726317,88.44828813438603,2.0,Sobre-compra
AAVEUSDT,480,514298.267,132.644,"['N/A', 'N/A', 'N/A']",106,3,97.17,"[('Alcista', 18), ('Alcista', 27), ('Bajista', 202)]",0,0,0,0,16,296.67,308.88,299.45,4.53,3.33,1.1988645850726436,99,101,2025-09-19 15:14:59.999,297.52,2025-09-19 14:44:59.999,299.76,Bajista,29,Alcista,1,88.72727272727265,76.779837207022,1.0,Sobre-compra-K
NEARUSDT,480,102319933.0,61083.2,"['N/A', 'N/A', 'N/A']",107,14,86.92,"[('Bajista', 1), ('Alcista', 48), ('Bajista', 112)]",0,0,0,0,16,3.092,3.342,3.169,5.46,18.68,13.221836541495742,93,88,2025-09-19 15:14:59.999,3.124,2025-09-19 14:44:59.999,3.159,Alcista,214,Alcista,8,89.33333333333336,90.46296296296282,3.0,Sobre-compra
FILUSDT,480,39046524.239999995,15678.77,"['N/A', 'N/A', 'N/A']",103,7,93.2,"[('Bajista', 1), ('Alcista', 16), ('Alcista', 17)]",0,1,0,0,16,2.457,2.572,2.474,7.52,4.2,3.31447049312853,98,88,2025-09-19 15:14:59.999,2.453,2025-09-19 15:44:59.999,2.479,Bajista,50,Bajista,51,80.76923076923136,74.35897435897455,2.0,Sobre-compra-K
INJUSDT,480,3600972.3499999996,2356.99,"['Martillo_Inv', 'N/A', 'N/A']",78,6,92.31,"[('Alcista', 18), ('Alcista', 28), ('Alcista', 48)]",0,0,0,0,16,13.86,14.5,13.98,6.37,5.15,1.2160228898426189,80,76,2025-09-19 15:14:59.999,13.91,2025-09-19 14:29:59.999,14.02,Bajista,48,Bajista,32,66.66666666666717,59.72222222222292,14.0,Neutro
AUDIOUSDT,480,97965743.4,7508.2,"['N/A', 'N/A', 'Cuerpo_Lleno']",57,0,100.0,[],0,0,0,0,16,0.0612,0.0631,0.0618,7.93,3.72,4.20711974110031,47,58,2025-09-19 14:14:59.999,0.0615,2025-09-19 15:44:59.999,0.062,Bajista,12,Alcista,3,21.42857142857157,33.36834733893553,12.0,Neutro
CTKUSDT,480,16884690.599999998,14825.3,"['N/A', 'N/A', 'N/A']",99,6,93.94,"[('Bajista', 1), ('Bajista', 13), ('Alcista', 42)]",0,0,0,0,28,0.3401,0.3602,0.3516,2.79,9.27,6.484641638225268,98,103,2025-09-19 15:14:59.999,0.3474,2025-09-19 15:44:59.999,0.353,Alcista,3,Alcista,11,83.90804597701197,92.61118830084364,7.0,Sobre-compra
